horizon_min,split,model,auroc,delta_vs_canonical_m3,delta_vs_split_m3,p_vs_m3,delta_vs_split_f2,p_vs_f2
20,CANONICAL,A4_logit_sum_to_one,0.6602,0.0587,0.0587,0.003,0.012,0.048
20,CANONICAL,A4_logit_equal,0.6515,0.0501,0.0501,0.0,0.0034,0.464
20,CANONICAL,F1_unregularized,0.6499,0.0485,0.0485,0.008,0.0018,0.398
20,CANONICAL,F3_l1,0.6367,0.0353,0.0353,0.01,-0.0114,0.023
20,CANONICAL,F7_interaction,0.652,0.0506,0.0506,0.003,0.0039,0.154
20,CANONICAL,P3_categorical_parity,0.6429,0.0414,0.0414,0.007,-0.0052,0.59
20,resplit_11,B0_prevalence,0.4986,-0.1028,-0.1028,0.014,-0.1493,0.0
20,resplit_11,B1_parity_only,0.5708,-0.0306,-0.0306,0.474,-0.0771,0.018
20,resplit_11,B2_m3_only,0.6015,0.0,0.0,1.0,-0.0465,0.007
20,resplit_11,F2_hybrid_C0.1,0.648,0.0465,0.0465,0.007,0.0,1.0
20,resplit_11,A3_prob_avg_a0.25,0.6531,0.0516,0.0516,0.029,0.0051,0.583
20,resplit_11,A3_prob_avg_a0.5,0.6496,0.0482,0.0482,0.001,0.0017,0.801
20,resplit_11,A3_prob_avg_a0.75,0.6265,0.025,0.025,0.001,-0.0215,0.085
20,resplit_11,A3_prob_avg_selected,0.6665,0.065,0.065,0.001,0.0185,0.0
20,resplit_11,A4_logit_unconstrained,0.6502,0.0487,0.0487,0.009,0.0022,0.274
20,resplit_11,A4_logit_nonneg,0.6502,0.0487,0.0487,0.009,0.0022,0.281
20,resplit_11,A4_logit_sum_to_one,0.6576,0.0561,0.0561,0.007,0.0096,0.144
20,resplit_11,A4_logit_equal,0.6485,0.047,0.047,0.001,0.0005,0.928
20,resplit_11,F1_unregularized,0.6501,0.0487,0.0487,0.009,0.0022,0.281
20,resplit_11,F3_l1,0.6347,0.0332,0.0332,0.044,-0.0133,0.004
20,resplit_11,F7_interaction,0.6512,0.0497,0.0497,0.004,0.0032,0.224
20,resplit_11,P3_categorical_parity,0.6433,0.0419,0.0419,0.006,-0.0046,0.621
20,resplit_22,B0_prevalence,0.4986,-0.1028,-0.1028,0.012,-0.152,0.001
20,resplit_22,B1_parity_only,0.5731,-0.0284,-0.0284,0.494,-0.0776,0.01
20,resplit_22,B2_m3_only,0.6015,0.0,0.0,1.0,-0.0492,0.004
20,resplit_22,F2_hybrid_C0.1,0.6506,0.0492,0.0492,0.004,0.0,1.0
20,resplit_22,A3_prob_avg_a0.25,0.6497,0.0482,0.0482,0.039,-0.001,0.918
20,resplit_22,A3_prob_avg_a0.5,0.6483,0.0468,0.0468,0.002,-0.0024,0.525
20,resplit_22,A3_prob_avg_a0.75,0.6257,0.0243,0.0243,0.002,-0.0249,0.046
20,resplit_22,A3_prob_avg_selected,0.6636,0.0622,0.0622,0.001,0.013,0.005
20,resplit_22,A4_logit_unconstrained,0.652,0.0506,0.0506,0.004,0.0014,0.534
20,resplit_22,A4_logit_nonneg,0.652,0.0506,0.0506,0.004,0.0014,0.538
